Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ACC,EQ,January,1331.05,1340,1357.45,1339,1354,1351.9,1349.72,194806,262933192,9709,66762,34.27
ACC,EQ,January,1351.9,1359.9,1359.9,1336.65,1344,1343.55,1345.34,167153,224878211.3,9143,54450,32.57
ACC,EQ,January,1343.55,1347.7,1351,1315.15,1318.8,1319.4,1327.88,204877,272052779.4,14287,77055,37.61
ACC,EQ,January,1319.4,1330.5,1339,1320.1,1334.9,1332.85,1330.21,362924,482765971.4,19730,115052,31.7
ACC,EQ,January,1332.85,1338,1349.1,1330,1331.1,1333.9,1340.72,247931,332405617.9,12556,69289,27.95
ACC,EQ,January,1333.9,1343.7,1343.7,1316.5,1326.35,1327.85,1326.13,135067,179116309.2,6490,60053,44.46
ACC,EQ,January,1327.85,1332,1337.35,1314.05,1317.3,1319.6,1320.53,166426,219770198.7,10054,82385,49.5
ACC,EQ,January,1319.6,1325,1354,1320,1349,1348.7,1342.03,399543,536197688.5,25445,224465,56.18
ACC,EQ,January,1348.7,1357,1361,1332.35,1340,1341.6,1344.48,282105,379285935.3,20395,122145,43.3
ACC,EQ,January,1341.6,1344.8,1350,1327.7,1332,1329.5,1331.98,101419,135087686,5841,35150,34.66
ACC,EQ,January,1329.5,1331,1339.9,1325,1333.1,1331,1332.58,107466,143206707,7316,39375,36.64
ACC,EQ,January,1331,1333,1339.9,1315,1331,1328.9,1325.39,208483,276321915.7,13295,78507,37.66
ACC,EQ,January,1328.9,1337.75,1353.8,1331,1350.8,1349.7,1346.4,503533,677955421.2,15789,278083,55.23
ACC,EQ,January,1349.7,1351,1367.95,1342.35,1360,1361.05,1356.08,561898,761977785.5,12576,391998,69.76
ACC,EQ,January,1361.05,1357.9,1365,1315,1325,1326.45,1344.04,380376,511242164.8,20072,136218,35.81
ACC,EQ,January,1326.45,1326.15,1343.6,1326.15,1339.5,1334.7,1335.26,205914,274949305.7,12683,75292,36.56
ACC,EQ,January,1334.7,1339,1362,1337.1,1359.5,1358.6,1348.54,834505,1125365172,11991,694222,83.19
ACC,EQ,January,1358.6,1361.5,1413,1352.6,1410,1399.4,1384.59,743286,1029143349,23159,454941,61.21
ACC,EQ,January,1399.4,1420,1440,1413,1425.15,1430.65,1430.92,617354,883386146.5,22415,292788,47.43
ACC,EQ,January,1430.65,1428.8,1440,1412,1428,1428.4,1424.66,215574,307120022.8,10891,57106,26.49
ACC,EQ,January,1428.4,1415.25,1434.9,1406.25,1414.8,1413.5,1420.01,186852,265331417.4,8688,57731,30.9
ACC,EQ,February,1413.5,1416,1476.15,1412.5,1470,1468.55,1451.01,399235,579294764.6,17917,167056,41.84
ACC,EQ,February,1468.55,1470,1470,1423.1,1429,1431.85,1439.63,305773,440200550.1,20946,127575,41.72
ACC,EQ,February,1431.85,1430,1439.35,1408.05,1416.65,1423.9,1419.76,645997,917162747,30680,152324,23.58
ACC,EQ,February,1423.9,1412.1,1502.75,1402,1483.9,1480.15,1466.69,1276805,1872675467,46635,191275,14.98
ACC,EQ,February,1480.15,1483.7,1483.7,1445.4,1458.1,1456.2,1457.7,290474,423424143.2,11780,66769,22.99
ACC,EQ,February,1456.2,1456.9,1504,1456.9,1496.35,1497.1,1490.96,649755,968758710.9,32105,218879,33.69
ACC,EQ,February,1497.1,1497.15,1512.05,1477.6,1484,1485.5,1495.03,373250,558021226.7,14505,207187,55.51
