Symbol,Narration,Expenses,Net profit,EPS,Price to earning,Revenue,Price,IPR,CPR
ACC,13-Mar,9520.12,1094.67,29.37,40.16,10614.79,1179.7,,29.375
ACC,14-Mar,10225.5,1161.82,31.17,43.25,11387.32,1348.2,,31.17225434
ACC,15-Mar,10424.18,587.6,20.93,74.44,11011.78,1558.03,,20.93001075
ACC,16-Mar,9785.41,604.38,32.01,44.78,10389.79,1433.45,18.08,32.01094238
AMBUJACEM,13-Mar,7546.93,1278.57,8.27,21.55,8825.5,178.17,,8.26774942
AMBUJACEM,14-Mar,8071.4,1486.5,9.59,21.75,9557.9,208.58,,9.589885057
AMBUJACEM,15-Mar,7939.08,807.88,5.2,47.54,8746.96,247.42,,5.204459403
AMBUJACEM,16-Mar,17263.24,1121.13,5.65,39.98,18384.37,225.69,18.08,5.645072536
AUROPHARMA,13-Mar,4994.37,293.86,5.04,17.24,5288.23,86.88,,5.039443155
AUROPHARMA,14-Mar,5966.14,1173,20.1,13.93,7139.14,280.01,,20.10122039
AUROPHARMA,15-Mar,9556.9,1575.77,26.98,24.48,11132.67,660.68,,26.98856209
AUROPHARMA,16-Mar,10690.52,1982,33.87,22.58,12672.52,764.67,42.69,33.86492471
BAJAJ-AUTO,13-Mar,16422.05,3043.57,105.18,16.78,19465.62,1764.84,,105.1752086
BAJAJ-AUTO,14-Mar,16108.67,3243.32,112.08,17.92,19351.99,2008.98,,112.1082589
BAJAJ-AUTO,15-Mar,17895.8,2813.74,97.24,20.93,20709.54,2035.42,,97.24892499
BAJAJ-AUTO,16-Mar,17925.06,3652.41,126.22,19.63,21577.47,2478.11,31.16,126.2409577
BHEL,13-Mar,39672.15,6614.73,27.03,6.8,46286.88,183.88,,27.04117647
BHEL,14-Mar,35201.88,3460.78,14.14,13.11,38662.66,185.34,,14.13729977
BHEL,15-Mar,28143.91,1419.29,5.8,40.21,29563.2,233.18,,5.799054961
BHEL,16-Mar,27590.23,-913.42,-3.73,-33.43,26676.81,124.75,15.29,-3.731678133
BOSCHLTD,13-Mar,7356.4,958.3,305.2,27.89,8314.7,8512.94,,305.2326999
BOSCHLTD,14-Mar,7480.9,884.7,281.76,31.2,8365.6,8790.33,,281.7413462
BOSCHLTD,15-Mar,10146.9,1337.7,426.03,57.24,11484.6,24385.68,,426.0251572
BOSCHLTD,16-Mar,8763.4,1245.9,396.8,49.91,10009.3,19803.27,31.16,396.7796033
BPCL,13-Mar,234008.95,2642.9,36.55,5.36,236651.85,195.77,,36.52425373
BPCL,14-Mar,251974.31,4060.88,56.16,4.02,256035.19,225.89,,56.19154229
BPCL,15-Mar,229772.23,5084.51,70.32,5.64,234856.74,396.75,,70.34574468
BPCL,16-Mar,178247.07,7431.88,102.78,4.55,185678.95,467.44,10.8,102.7340659
CIPLA,13-Mar,6083.28,1507.11,18.75,21.21,7590.39,397.55,,18.74351721
CIPLA,14-Mar,7467.37,1388.34,17.27,23.04,8855.71,397.96,,17.27256944
CIPLA,15-Mar,8170.47,1181.09,14.69,46.18,9351.56,678.49,,14.69229104
CIPLA,16-Mar,9980.34,1398.03,17.38,29.89,11378.37,519.53,42.69,17.38139846
DRREDDY,13-Mar,9167.3,1526.8,89.9,21.25,10694.1,1910.16,,89.88988235
DRREDDY,14-Mar,10164.5,1963.2,115.41,22.57,12127.7,2605.09,,115.422685
DRREDDY,15-Mar,11529.7,2336.4,137.13,26.15,13866.1,3586.06,,137.1342256
DRREDDY,16-Mar,12239.1,2151.4,126.1,24.36,14390.5,3071.71,42.69,126.0964696
GRASIM,13-Mar,21985.73,2071.54,45.12,12.28,24057.27,562.27,,45.78745928
GRASIM,14-Mar,24408.57,1743.8,37.97,19.44,26152.37,554.11,,28.50360082
GRASIM,15-Mar,27703.36,2359.15,50.55,15.85,30062.51,738.02,,46.56277603
GRASIM,16-Mar,29975.6,3100.46,66.41,17.76,33076.06,801.24,18.08,45.11486486
HCLTECH,13-Mar,19919.9,4040.09,28.86,12.97,23959.99,374.45,,28.87047032
HCLTECH,14-Mar,24108.37,6509.51,46.4,15.25,30617.88,707.78,,46.41180328
HCLTECH,15-Mar,28228.64,7317.07,52.04,17.7,35545.71,921.24,,52.04745763
HCLTECH,16-Mar,24240.34,5643.04,40.01,20.81,29883.38,832.74,18.54,40.0163383
HEROMOTOCO,13-Mar,20483.63,2118.16,106.07,14.3,22601.79,1517.15,,106.0944056
HEROMOTOCO,14-Mar,21735.41,2109.08,105.62,21.01,23844.49,2218.71,,105.6025702
HEROMOTOCO,15-Mar,24198.16,2385.64,119.47,20.65,26583.8,2466.88,,119.4615012
HEROMOTOCO,16-Mar,24152.29,3132.37,156.86,19.01,27284.66,2982.43,31.16,156.8874277
INFY,13-Mar,28814,9429,41.1,15.47,38243,635.81,,41.09954751
INFY,14-Mar,36743,10656,46.45,17.37,47399,806.82,,46.44905009
INFY,15-Mar,38436,12372,54,19.67,50808,1062.31,,54.00660905
INFY,16-Mar,45312,13678,59.84,20.23,58990,1210.64,18.54,59.84379634
ITC,13-Mar,19254.32,7418.39,9.39,21.83,26672.71,204.98,,9.389830508
ITC,14-Mar,20763.08,8785.21,11.05,21,29548.29,231.99,,11.04714286
