Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ACC,EQ,2014,1350.8,1352.3,1358.2,1327.05,1334.3,1336.65,1337.56,212152,283765535.8,16142,77439,36.5
ACC,EQ,2014,1336.65,1334,1356.6,1316.6,1355.55,1347.05,1337.12,867755,1160296327,41246,235707,27.16
ACC,EQ,2014,1347.05,1340.1,1341.1,1288.15,1307,1310.25,1305.03,629939,822090483.2,27405,255340,40.53
ACC,EQ,2014,1310.25,1300.1,1307,1277.2,1287,1287.05,1287.37,360527,464131634.6,19626,222700,61.77
ACC,EQ,2014,1287.05,1290,1310,1277,1299.3,1300.3,1297.2,386817,501778300.8,18194,100933,26.09
ACC,EQ,2014,1300.3,1300.05,1316.9,1282.7,1306.9,1293,1293.27,366408,473863617.7,14431,245483,67
ACC,EQ,2014,1293,1296.15,1305,1280,1285.75,1285.75,1286.91,138497,178233745.7,10649,66776,48.21
ACC,EQ,2014,1285.75,1285.75,1287.25,1265.2,1280.05,1277,1272.71,252303,321109111.8,15232,139474,55.28
ACC,EQ,2014,1277,1282.15,1305,1275,1290,1291.35,1293.67,358303,463524377.4,28666,232677,64.94
ACC,EQ,2014,1291.35,1282.15,1296.85,1267.05,1272,1271.7,1280.97,398838,510900541.8,28196,251516,63.06
ACC,EQ,2014,1271.7,1275.25,1290,1261.1,1269,1269.7,1271.69,222403,282827055.2,11599,132496,59.57
ACC,EQ,2014,1269.7,1267.95,1347.45,1265.05,1340,1341.1,1317.62,305740,402849913.7,13480,135825,44.43
ACC,EQ,2014,1341.1,1342.5,1368.9,1342.3,1362,1353.5,1353.55,270023,365488602.8,11614,127181,47.1
ACC,EQ,2014,1353.5,1360.1,1419,1360.1,1388.55,1390.15,1393.4,529280,737497730.9,22434,120410,22.75
ACC,EQ,2014,1390.15,1389.8,1398.7,1371,1390,1388.05,1385.85,318008,440710768.8,10634,128899,40.53
ACC,EQ,2014,1388.05,1381.2,1399,1359.05,1378,1377.1,1380.98,271826,375385455.6,13104,148430,54.6
ACC,EQ,2014,1377.1,1395,1459.9,1382.05,1447,1430.15,1430.91,790658,1131363441,36903,421220,53.27
ACC,EQ,2014,1430.15,1437,1453.6,1410.2,1435,1442.45,1436.6,835308,1200006195,57260,619252,74.13
ACC,EQ,2014,1442.45,1458.7,1458.7,1415.5,1425,1422,1426.27,229930,327941829.4,16074,102374,44.52
ACC,EQ,2014,1422,1423,1439.95,1372,1389,1380.45,1395.36,364909,509180738.6,14438,205869,56.42
ACC,EQ,2014,1380.45,1399,1408,1361,1387.95,1389.4,1388.44,319755,443961761.4,12603,142524,44.57
ACC,EQ,2014,1389.4,1386,1400,1370.3,1377.05,1380.1,1383.55,541425,749090538.1,11161,397817,73.48
ACC,EQ,2014,1380.1,1381,1433.5,1311.85,1346.7,1348.45,1391.41,1580507,2199133378,41888,1032518,65.33
ACC,EQ,2014,1348.45,1348.05,1357.8,1312.15,1332.75,1330.55,1329.73,190906,253852531.8,9135,57544,30.14
ACC,EQ,2014,1330.55,1337,1398,1331.05,1388,1381.25,1378.41,422121,581857196.7,27755,175829,41.65
ACC,EQ,2014,1381.25,1394,1407.35,1352.05,1359.5,1362.3,1381.66,426725,589589735.7,29501,231795,54.32
ACC,EQ,2014,1362.3,1362,1365.95,1321.1,1341,1337,1344.86,433042,582381365.6,17488,292240,67.49
ACC,EQ,2014,1337,1347.7,1388.8,1332.8,1382.45,1382.4,1360.06,280346,381287426.6,11673,130256,46.46
ACC,EQ,2014,1382.4,1390,1429.5,1384.05,1419,1417.05,1410.66,389987,550140072.7,24888,141639,36.32
ACC,EQ,2014,1417.05,1420,1436.4,1410,1420.35,1422.7,1422.71,234062,333001631.4,7846,123990,52.97
ACC,EQ,2014,1422.7,1428,1459.65,1428,1434.35,1439.25,1443.87,544132,785656440.4,29854,330840,60.8
ACC,EQ,2014,1439.25,1446,1448.5,1424.65,1443.45,1438.9,1435.35,306628,440119498.7,18108,155468,50.7
ACC,EQ,2014,1438.9,1444,1525.5,1441.1,1503,1507.1,1506.64,832082,1253651183,42804,360837,43.37
ACC,EQ,2014,1507.1,1514.8,1515.45,1476.05,1497,1499.55,1497.21,650780,974353795.6,18837,462716,71.1
ACC,EQ,2014,1499.55,1510,1514,1468.5,1478,1484.1,1489.11,251884,375082790,12288,105370,41.83
ACC,EQ,2014,1484.1,1483,1489.8,1466.05,1480.1,1477,1479.43,226059,334438067.7,16237,94970,42.01
ACC,EQ,2014,1477,1470.75,1506,1458.55,1475,1474.75,1485.67,280837,417231870.1,16175,89791,31.97
ACC,EQ,2014,1474.75,1474,1493,1438,1484.1,1486.3,1467.18,310812,456016866.7,19380,153432,49.36
ACC,EQ,2014,1486.3,1486.4,1511,1467.75,1501.1,1499.8,1496.42,533887,798918626.7,25303,282178,52.85
ACC,EQ,2014,1499.8,1501.1,1520,1466,1473,1475.2,1503.12,448226,673736728.7,29206,206984,46.18
ACC,EQ,2014,1475.2,1478.5,1499,1448.05,1448.2,1455.05,1467.09,162784,238818470.6,15457,51493,31.63
ACC,EQ,2014,1455.05,1443,1465.3,1427.35,1436.2,1438.6,1444.79,201598,291267451,11872,82104,40.73
ACC,EQ,2014,1438.6,1425.15,1477,1425,1475,1471,1453.43,305598,444166395.9,17332,133395,43.65
ACC,EQ,2014,1471,1482,1485,1460,1475,1472,1472.47,275321,405401099.8,15022,115050,41.79
ACC,EQ,2014,1472,1470,1477.4,1457,1469.2,1469.95,1469.86,169257,248783313.2,10153,82842,48.94
ACC,EQ,2014,1469.95,1479.8,1479.8,1435,1456,1450.05,1454.77,281676,409773487,11345,139166,49.41
ACC,EQ,2014,1450.05,1453.1,1472.1,1424,1427,1429.7,1439.53,166024,238995850,11096,51417,30.97
ACC,EQ,2014,1429.7,1428,1484.5,1428,1464.35,1469.25,1454.21,227041,330165601.4,8643,91296,40.21
ACC,EQ,2014,1469.25,1471,1486.8,1460.35,1478,1480.6,1477.63,208998,308821191.1,9842,101084,48.37
ACC,EQ,2014,1480.6,1485.1,1503.65,1471.6,1498.5,1498.4,1494.79,294391,440051737.9,19713,153325,52.08
ACC,EQ,2014,1498.4,1500,1514.95,1476,1479.8,1480.05,1486.69,144786,215251590,10498,50334,34.76
ACC,EQ,2014,1480.05,1476.15,1487.5,1421.1,1448,1450.95,1458.63,179421,261708319.1,8464,51828,28.89
ACC,EQ,2014,1450.95,1447.9,1467,1445,1445.5,1450.85,1453.78,196051,285015764.7,11019,95046,48.48
ACC,EQ,2014,1450.85,1450,1467,1401.1,1423,1418.55,1431.48,253721,363196913.7,11713,120141,47.35
ACC,EQ,2014,1418.55,1422,1448,1395,1433.55,1435.55,1431.52,314118,449667577.3,15914,141510,45.05
ACC,EQ,2014,1435.55,1435.1,1487.8,1411,1458,1458.5,1452.98,299862,435694414.9,20261,112349,37.47
ACC,EQ,2014,1458.5,1456.5,1461.8,1411.5,1419.8,1424.7,1433.36,248804,356625302.6,13617,118236,47.52
ACC,EQ,2014,1424.7,1416.25,1429,1395.1,1398,1398.3,1409.79,211513,298188003.8,10614,88255,41.73
ACC,EQ,2014,1398.3,1405,1426,1397.2,1422.3,1419.65,1414.35,302030,427176841.5,14356,156094,51.68
ACC,EQ,2014,1419.65,1422.25,1446.85,1411,1445,1435.6,1426.38,191690,273423325.8,12364,63954,33.36
ACC,EQ,2014,1435.6,1438,1479.5,1437.1,1479.5,1477,1466.01,244439,358349563.4,11425,113720,46.52
ACC,EQ,2014,1477,1478,1479,1450,1464,1461.2,1461.35,119965,175310652.3,6932,32878,27.41
ACC,EQ,2014,1461.2,1455.5,1494.9,1445,1487.25,1483.75,1481.61,244009,361525314.1,15184,101340,41.53
ACC,EQ,2014,1483.75,1490,1500,1475,1491,1489.05,1490.22,135486,201904622.4,8264,43880,32.39
ACC,EQ,2014,1489.05,1493.25,1498,1450.5,1454.15,1453.85,1464.73,156358,229021801.3,8959,52334,33.47
ACC,EQ,2014,1453.85,1455.4,1473.4,1429,1470,1463.45,1449.15,468613,679092693.2,20092,95611,20.4
ACC,EQ,2014,1463.45,1464.9,1469,1429.95,1431.5,1440,1449.1,169289,245317412.2,8691,64126,37.88
ACC,EQ,2014,1440,1429,1437.9,1393.05,1402,1402.85,1406.41,279895,393648288.2,11121,163633,58.46
ACC,EQ,2014,1402.85,1401.8,1411.95,1388.2,1409.5,1409.25,1403.07,354600,497529810.9,13813,239965,67.67
ACC,EQ,2014,1409.25,1401.05,1418.5,1388.6,1395,1395.9,1401.66,548941,769430757.3,21724,419998,76.51
ACC,EQ,2014,1395.9,1385,1394.9,1370,1375.05,1375.55,1381.74,829098,1145598122,14027,645410,77.84
ACC,EQ,2014,1375.55,1380,1390.7,1358.05,1372.5,1374.5,1370.88,313771,430141358.9,11710,174117,55.49
ACC,EQ,2014,1374.5,1376,1451.15,1375.15,1439.3,1441.5,1415.02,434006,614128945.5,19318,183451,42.27
ACC,EQ,2014,1441.5,1440,1448,1421.15,1430.1,1431.2,1433.77,333455,478097164.3,16807,165661,49.68
ACC,EQ,2014,1431.2,1442.9,1488.7,1432,1473.7,1473.75,1461.88,686373,1003397460,28237,320145,46.64
ACC,EQ,2014,1473.75,1460,1464.9,1432.5,1437.5,1439.65,1446.23,250909,362871756.2,16414,114387,45.59
ACC,EQ,2014,1439.65,1449.4,1456.35,1438.3,1444.05,1447.95,1449.19,150882,218657175.8,6413,66355,43.98
ACC,EQ,2014,1447.95,1447.8,1473.5,1445.5,1464.9,1464.65,1460.75,229909,335839841.3,9932,88526,38.5
ACC,EQ,2014,1464.65,1460,1483,1440,1447.5,1452.4,1461.18,233512,341203353.3,13793,77098,33.02
ACC,EQ,2014,1452.4,1453,1486,1453,1483,1480.85,1470.92,180880,266060072,11177,65244,36.07
ACC,EQ,2014,1480.85,1479.8,1516.8,1471.95,1511.9,1508.65,1499.3,263813,395534554.7,13510,108439,41.1
ACC,EQ,2014,1508.65,1518,1538.7,1499.1,1531.2,1523.95,1516.45,524770,795789759.3,23552,302952,57.73
ACC,EQ,2014,1523.95,1529.15,1549.75,1518.2,1524,1525.4,1528.91,411276,628804311.5,25701,180926,43.99
ACC,EQ,2014,1525.4,1525,1536,1515.15,1521,1525.6,1524.85,439918,670807689.5,25098,226421,51.47
ACC,EQ,2014,1525.6,1526,1530.5,1510,1518.9,1520.4,1519.05,220001,334192659.6,13720,80702,36.68
ACC,EQ,2014,1520.4,1520.4,1547.9,1513.15,1529.8,1531.7,1529.12,562698,860434199.9,26593,366139,65.07
ACC,EQ,2014,1531.7,1531.1,1531.1,1473.25,1490.05,1491.4,1497.11,390276,584284915.8,15836,160875,41.22
ACC,EQ,2014,1491.4,1499.8,1509.9,1481.15,1499.85,1502.75,1498.44,228053,341723985.9,10762,77987,34.2
ACC,EQ,2014,1502.75,1505,1506.8,1487,1493,1492.55,1496.78,190831,285632766.3,13695,96833,50.74
ACC,EQ,2014,1492.55,1495.25,1518.95,1495.25,1498.1,1499.55,1504.74,211600,318402631,14294,117001,55.29
ACC,EQ,2014,1499.55,1495,1561.05,1495,1553.95,1551.9,1540.12,617386,950846939.9,35142,317378,51.41
ACC,EQ,2014,1551.9,1560,1564.65,1540.65,1547,1546.75,1554.21,468497,728140542.8,29387,262713,56.08
ACC,EQ,2014,1546.75,1545.1,1549.8,1511,1531.55,1525.45,1522.03,372132,566394456.8,29078,201978,54.28
ACC,EQ,2014,1525.45,1532.9,1544,1511.9,1525,1521.75,1524.3,274458,418354964.7,10885,116457,42.43
ACC,EQ,2014,1521.75,1537,1556.8,1522.1,1545.5,1549.65,1542.53,337481,520575658.1,18339,161227,47.77
ACC,EQ,2014,1549.65,1547.1,1560.5,1527,1541.65,1545.1,1541.02,385722,594406872.9,16470,217179,56.3
ACC,EQ,2014,1545.1,1536,1552.2,1521.3,1525.55,1532.25,1536.5,350368,538341740.9,10830,157404,44.93
ACC,EQ,2014,1532.25,1525.1,1540,1518,1525,1532.05,1530.47,324500,496639128.2,11124,134447,41.43
ACC,EQ,2014,1532.05,1539,1541.5,1518,1537,1534.25,1530.5,270001,413236089.3,14375,137268,50.84
